Date;Ram;Cpu;NumPsbrBindingRecs;NumPsbrSessionRecs;AllocInMemorySize;UsedInMemorySize;BINDINGTASKQ0;BINDINGTASKQ1;BINDINGTASKQ2;BINDINGTASKQ3;SESSIONTASKQ0;SESSIONTASKQ1;SESSIONTASKQ2;SESSIONTASKQ3;ImsiAnchorKeyRecs;ImsiApnAnchorKeyRecs;MsisdnAlternateKeyRecs;MsisdnApnAlternateKeyRecs;Ipv4AlternateKeyRecs;Ipv4AlternateKeyV2Recs;Ipv6AlternateKeyRecs;Ipv6AlternateKeyV2Recs;IngressStackEventRate;EgressStackEventRate;BindingTaskCpu0;BindingTaskCpu1;BindingTaskCpu2;BindingTaskCpu3;RecordAuditTaskCpu;AuditStackEventTaskCpu;TxSbrAuditSEReqSent;TxSbrAuditSEReqSentRateAvg;TxSbrAuditSEReqSentRatePeak;TxBindingSbrInvokeSisRateAvg;TxBindingSbrInvokeSisRateMax;CATxUserBundlingRatio;CATxProvBundlingRatio;CARxBundlingRatio;SessionRecs;OcSessionRecs;OcClientHostRecs;SessionTaskCpu0;SessionTaskCpu1;SessionTaskCpu2;SessionTaskCpu3;CATcpThread;CARIngressTask;CADirectXferThr;CAREgressTask;ComAgentTimer;ComAgtReTx;AlarmMajor;AlarmMinor;AlarmCrit;SbrSisTaskCpu0;SbrSisTaskCpu1;SbrSisSendRarTaskCpu;SbrSisRspHandleTaskCpu;SbrInvokeSisSenTaskCpu;SbrInvokeSisRspTaskCpu
2015-07-02 14:00:00 EDT;49.195333333;2.0053333333;0.0;7460000.0;17502.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.6;40.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.2;37.2;37.2;37.2;18.1;21.9;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:00:15 EDT;49.2;2.08;0.0;7460000.0;17502.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.6;40.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.2;37.2;37.2;37.2;18.1;21.9;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:00:30 EDT;49.2;2.08;0.0;7460000.0;17502.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.6;40.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.2;37.2;37.2;37.2;18.1;21.9;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:00:45 EDT;49.2;2.08;0.0;7460000.0;17502.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.6;40.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.153333333;37.153333333;37.153333333;37.153333333;18.1;21.853333333;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:01:00 EDT;49.2;2.08;0.0;7460000.0;17502.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.553333333;40.353333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:01:15 EDT;49.190666667;1.926;0.0;7460000.0;17497.333333;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:01:30 EDT;49.18;1.75;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:01:45 EDT;49.18;1.75;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:02:00 EDT;49.18;1.75;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:02:15 EDT;49.18;1.75;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.246666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:02:30 EDT;49.18;1.7926666667;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:02:45 EDT;49.18;1.83;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.1;37.1;37.1;37.1;18.1;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:03:00 EDT;49.18;1.83;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.046666667;37.046666667;37.046666667;37.046666667;18.046666667;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:03:15 EDT;49.18;1.83;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.0;37.0;37.0;37.0;18.0;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:03:30 EDT;49.185333333;1.9206666667;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.0;37.0;37.0;37.0;18.0;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:03:45 EDT;49.19;2.0;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.0;37.0;37.0;37.0;18.0;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.4;6.4;9.6;1.4;0.9;0.9
2015-07-02 14:04:00 EDT;49.19;2.0;0.0;7460000.0;17492.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.9;0.9;31.5;40.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7458843.0;0.0;0.0;37.0;37.0;37.0;37.0;18.0;21.8;12.4;12.1;0.4;0.9;0.0;0.0;0.0;6.36;6.36;9.56;1.4;0.9;0.9
